device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,1,1,28,103.187,17.573,0.007,1093.62,14.411,1.842
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,2,1,28,72.619,14.647,0.007,895.385,14.293,1.916
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,4,1,28,72.654,14.583,0.006,752.404,14.191,2.026
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,8,1,28,73.263,14.73,0.007,693.422,14.848,1.99
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,16,1,28,72.86,14.637,0.006,658.406,14.145,1.817
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,32,1,28,72.688,14.636,0.006,635.987,14.247,1.871
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,64,1,28,72.557,14.547,0.006,611.49,13.624,1.944
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,128,1,28,72.822,14.63,0.007,585.931,14.59,2.042
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,256,1,28,72.744,14.653,0.005,553.211,14.567,2.057
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,512,1,28,72.573,14.626,0.007,488.273,14.589,2.126
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,1024,1,28,75.022,14.524,0.007,497.57,14.565,1.925
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,2048,1,28,74.84,14.644,0.005,512.942,15.042,1.862
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,4096,1,28,72.689,14.421,0.006,547.725,15.656,1.928
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,1,8192,1,28,73.405,14.461,0.006,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,1,1,28,72.773,14.483,0.006,884.537,14.258,1.846
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,2,1,28,72.655,14.123,0.006,753.368,14.304,1.846
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,4,1,28,72.787,14.661,0.006,692.351,15.302,1.888
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,8,1,28,72.707,14.438,0.006,656.882,15.552,1.965
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,16,1,28,72.787,14.706,0.006,635.657,14.535,1.868
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,32,1,28,72.563,14.59,0.007,615.114,13.881,1.968
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,64,1,28,72.755,14.639,0.005,587.098,13.961,1.881
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,128,1,28,72.61,14.387,0.006,554.002,14.564,2.017
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,256,1,28,72.746,14.559,0.006,488.956,15.609,1.982
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,512,1,28,72.789,14.471,0.006,495.49,14.609,1.951
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,1024,1,28,72.647,14.472,0.007,516.522,15.615,1.962
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,2048,1,28,75.351,14.783,0.006,563.305,15.655,1.937
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,2,4096,1,28,72.546,14.557,0.005,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,1,1,28,73.03,14.436,0.006,752.517,14.265,2.007
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,2,1,28,72.719,14.543,0.007,696.591,14.3,1.933
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,4,1,28,72.706,14.404,0.007,659.342,15.336,1.898
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,8,1,28,72.864,14.258,0.007,649.869,14.582,1.885
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,16,1,28,72.623,14.501,0.006,612.597,14.598,1.842
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,32,1,28,72.546,14.403,0.006,587.578,14.349,2.025
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,64,1,28,72.568,14.595,0.006,552.904,14.585,2.062
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,128,1,28,72.881,14.561,0.005,490.514,14.592,2.106
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,256,1,28,72.736,14.462,0.006,496.482,14.584,2.059
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,512,1,28,72.652,14.606,0.006,513.453,15.643,2.117
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,1024,1,28,72.826,14.49,0.007,552.093,15.655,2.007
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,1916,1916,4,2048,1,28,72.718,14.527,0.007,-1,-1,-1
