device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,1,1,1,35,100.607,18.286,0.003,9563.98,38.275,1.315
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,1,2,1,35,94.87,18.569,0.003,5287.44,25.028,1.151
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,1,4,1,35,95.329,18.42,0.003,3406.74,25.693,1.156
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,1,8,1,35,96.699,19.457,0.003,2487.13,27.171,1.189
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,1,16,1,35,95.522,18.376,0.003,1924.88,24.058,1.131
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,1,32,1,35,95.355,18.337,0.004,1581.78,23.433,1.163
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,1,64,1,35,95.398,18.441,0.003,1401.76,29.061,1.15
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,1,128,1,35,95.438,18.501,0.002,1255.79,23.41,1.185
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,1,256,1,35,95.615,18.368,0.003,1121.59,23.487,1.21
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,1,512,1,35,95.466,18.759,0.003,794.054,37.19,1.381
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,1,1024,1,35,128.872,22.484,0.004,910.942,28.21,1.403
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,2,1,1,35,129.993,22.506,0.005,5407.75,25.433,1.15
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,2,2,1,35,97.572,19.458,0.003,3353.96,31.292,1.147
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,2,4,1,35,95.24,18.216,0.01,2504.91,22.221,1.178
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,2,8,1,35,95.314,18.36,0.003,1913.45,21.78,1.14
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,2,16,1,35,95.362,18.498,0.003,1586.68,25.288,1.186
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,2,32,1,35,95.573,18.834,0.003,1383.43,28.24,1.217
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,2,64,1,35,95.404,18.703,0.002,1254.91,23.942,1.192
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,2,128,1,35,96.921,19.075,0.003,1160.93,22.559,1.185
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,2,256,1,35,95.581,18.447,0.003,786.099,27.451,1.42
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,2,512,1,35,130.303,22.27,0.005,910.249,32.607,1.458
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,4,1,1,35,128.846,22.264,0.006,3429.7,22.638,1.169
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,4,2,1,35,95.457,18.859,0.003,2469.38,23.637,1.232
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,4,4,1,35,95.486,18.404,0.004,1917.41,24.815,1.167
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,4,8,1,35,95.398,18.575,0.002,1577.28,22.139,1.196
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,4,16,1,35,98.204,18.806,0.002,1373.34,24.605,1.248
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,4,32,1,35,95.528,18.903,0.003,1244.6,20.071,1.2
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,4,64,1,35,95.562,18.655,0.003,1183.87,23.443,1.301
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,4,128,1,35,94.758,18.343,0.003,796.521,38.808,2.241
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,4,256,1,35,143.365,22.191,0.005,895.585,25.853,1.458
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,8,1,1,35,130.274,22.409,0.004,2579.35,25.1,1.177
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,8,2,1,35,95.489,18.555,0.003,1911.77,23.942,1.205
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,8,4,1,35,95.417,18.673,0.002,1590.9,24.209,1.216
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,8,8,1,35,95.798,18.612,0.003,1383.66,27.179,1.231
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,8,16,1,35,95.396,19,0.003,1343.03,24.25,1.334
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,8,32,1,35,98.167,19.191,0.004,1245.52,24.63,1.33
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,8,64,1,35,97.738,18.748,0.004,932.742,28.981,1.562
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,8,128,1,35,130.123,22.357,0.004,1065.88,25.167,1.599
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,16,1,1,35,130.287,22.273,0.004,2190.66,39.182,1.815
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,16,2,1,35,127.779,22.705,0.005,1778.52,25.156,1.597
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,16,4,1,35,129.065,22.376,0.005,1586.62,27.282,1.538
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,16,8,1,35,129.132,22.455,0.004,1450.48,30.957,1.471
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,16,16,1,35,128.978,22.262,0.004,1274,27.684,1.499
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,16,32,1,35,129.083,22.461,0.004,919.774,27.909,1.428
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,16,64,1,35,130.285,22.676,0.004,918.092,27.813,1.491
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,32,1,1,35,130.307,22.687,0.003,1882,25.547,1.414
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,32,2,1,35,130.266,22.391,0.003,1647.31,31.114,1.444
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,2172,2172,32,4,1,35,130.165,22.293,0.003,1472.04,29.732,1.499
